HomeTeam,AwayTeam,FTHG,FTAG
Monterrey,Chiapas,1,2
Club Leon,Puebla,0,0
Atlas,Club Tijuana,1,1
Toluca,Club America,2,2
Guadalajara Chivas,Tigres UANL,0,0
Monterrey,Guadalajara Chivas,1,0
Monarcas,Guadalajara Chivas,1,2
Club Tijuana,Club Leon,3,2
Club America,Atlas,1,2
Puebla,Santos Laguna,3,3
Leones Negros,Cruz Azul,1,1
Tigres UANL,Toluca,2,1
Pachuca,Veracruz,1,0
Chiapas,Queretaro,2,1
UNAM Pumas,Monterrey,4,2
Pachuca,Tigres UANL,1,1
UNAM Pumas,Club America,1,0
Monterrey,Atlas,0,1
Chiapas,Toluca,1,1
Club America,UNAM Pumas,1,0
Tigres UANL,Pachuca,1,1
Toluca,Chiapas,1,1
Atlas,Monterrey,0,2
Toluca,Tigres UANL,0,0
Monterrey,Club America,0,3
Tigres UANL,Toluca,0,0
Club America,Monterrey,0,0
Tigres UANL,Club America,1,0
Club America,Tigres UANL,3,0
Santos Laguna,Veracruz,1,2
Monarcas,Toluca,0,0
Club America,Club Leon,3,2
Puebla,Club Tijuana,2,1
Tigres UANL,Atlas,0,1
Chiapas,Guadalajara Chivas,2,1
Pachuca,Cruz Azul,0,1
UNAM Pumas,Queretaro,1,1
Leones Negros,Monterrey,1,0
Queretaro,Leones Negros,1,0
Veracruz,Puebla,3,1
Club Tijuana,Club America,1,0
Cruz Azul,Santos Laguna,1,0
Monterrey,Pachuca,1,0
Club Leon,Tigres UANL,0,1
Atlas,Monarcas,2,1
Toluca,Chiapas,3,0
Guadalajara Chivas,UNAM Pumas,2,1
Monarcas,Club Leon,0,0
Veracruz,Cruz Azul,0,0
Santos Laguna,Monterrey,4,1
Club America,Puebla,0,0
Tigres UANL,Club Tijuana,1,2
Pachuca,Queretaro,2,1
Chiapas,Atlas,3,1
UNAM Pumas,Toluca,3,2
Leones Negros,Guadalajara Chivas,1,1
Queretaro,Santos Laguna,0,1
Club Tijuana,Monarcas,4,2
Club America,Tigres UANL,1,0
Puebla,Cruz Azul,0,0
Guadalajara Chivas,Pachuca,1,0
Monterrey,Veracruz,1,1
Club Leon,Chiapas,1,1
Atlas,UNAM Pumas,1,1
Toluca,Leones Negros,3,1
Monarcas,Club America,2,2
Veracruz,Queretaro,1,1
Santos Laguna,Guadalajara Chivas,1,0
Cruz Azul,Monterrey,1,0
Tigres UANL,Puebla,1,0
Pachuca,Toluca,1,1
Chiapas,Club Tijuana,2,2
UNAM Pumas,Club Leon,1,3
Leones Negros,Atlas,0,2
Queretaro,Cruz Azul,1,2
Club Tijuana,UNAM Pumas,3,0
Club America,Chiapas,5,0
Puebla,Monterrey,2,0
Tigres UANL,Monarcas,1,0
Club Leon,Leones Negros,2,1
Atlas,Pachuca,1,3
Toluca,Santos Laguna,2,2
Guadalajara Chivas,Veracruz,0,0
Monarcas,Puebla,1,2
Veracruz,Toluca,3,0
Santos Laguna,Atlas,0,1
Cruz Azul,Guadalajara Chivas,1,2
Monterrey,Queretaro,2,1
Pachuca,Club Leon,2,1
Chiapas,Tigres UANL,1,0
UNAM Pumas,Club America,0,1
Leones Negros,Club Tijuana,0,1
Monarcas,Chiapas,3,2
Club Tijuana,Pachuca,3,2
Club America,Leones Negros,0,1
Puebla,Queretaro,4,1
Tigres UANL,UNAM Pumas,3,0
Club Leon,Santos Laguna,2,1
Atlas,Veracruz,0,3
Toluca,Cruz Azul,1,0
Guadalajara Chivas,Monterrey,3,0
Veracruz,Club Leon,1,0
Queretaro,Guadalajara Chivas,1,0
Cruz Azul,Atlas,1,1
Monterrey,Toluca,3,2
Santos Laguna,Club Tijuana,1,1
Pachuca,Club America,0,0
Chiapas,Puebla,2,2
UNAM Pumas,Monarcas,2,1
Leones Negros,Tigres UANL,2,1
Monarcas,Leones Negros,0,1
Club Tijuana,Veracruz,3,1
Club America,Santos Laguna,1,0
Puebla,Guadalajara Chivas,1,2
Tigres UANL,Pachuca,2,1
Club Leon,Cruz Azul,2,2
Atlas,Monterrey,2,1
Chiapas,UNAM Pumas,0,2
Toluca,Queretaro,1,0
Queretaro,Atlas,2,0
Veracruz,Club America,4,0
Santos Laguna,Tigres UANL,2,2
Cruz Azul,Club Tijuana,2,1
Monterrey,Club Leon,5,1
Pachuca,Monarcas,2,0
Leones Negros,Chiapas,0,1
UNAM Pumas,Puebla,2,1
Guadalajara Chivas,Toluca,1,0
Monarcas,Santos Laguna,0,1
Club America,Cruz Azul,1,0
Puebla,Toluca,0,1
Chiapas,Pachuca,2,2
Tigres UANL,Veracruz,3,1
Club Leon,Queretaro,4,5
Atlas,Guadalajara Chivas,1,1
Club Tijuana,Monterrey,3,4
UNAM Pumas,Leones Negros,2,0
Queretaro,Club Tijuana,2,1
Veracruz,Monarcas,1,1
Santos Laguna,Chiapas,4,3
Cruz Azul,Tigres UANL,2,0
Monterrey,Club America,1,1
Pachuca,UNAM Pumas,3,1
Leones Negros,Puebla,1,1
Toluca,Atlas,0,0
Guadalajara Chivas,Club Leon,1,0
Monarcas,Cruz Azul,2,0
Chiapas,Veracruz,1,1
Club Tijuana,Guadalajara Chivas,1,1
Club America,Queretaro,0,4
Puebla,Atlas,0,1
Tigres UANL,Monterrey,3,0
Club Leon,Toluca,1,1
UNAM Pumas,Santos Laguna,1,0
Leones Negros,Pachuca,1,1
Queretaro,Tigres UANL,1,3
Veracruz,UNAM Pumas,3,3
Santos Laguna,Leones Negros,1,0
Cruz Azul,Chiapas,0,1
Monterrey,Monarcas,1,0
Pachuca,Puebla,2,1
Atlas,Club Leon,3,2
Toluca,Club Tijuana,2,0
Guadalajara Chivas,Club America,1,1
Monarcas,Queretaro,1,2
Club Tijuana,Atlas,1,2
Puebla,Club Leon,2,0
Club America,Toluca,3,1
Tigres UANL,Guadalajara Chivas,2,1
Pachuca,Santos Laguna,2,3
Chiapas,Monterrey,0,2
UNAM Pumas,Cruz Azul,0,1
Leones Negros,Veracruz,1,2
Queretaro,Chiapas,1,0
Veracruz,Pachuca,1,2
Monterrey,UNAM Pumas,2,2
Club Leon,Club Tijuana,6,2
Cruz Azul,Leones Negros,0,2
Santos Laguna,Puebla,2,2
Atlas,Club America,1,2
Toluca,Tigres UANL,0,0
Guadalajara Chivas,Monarcas,2,3
Santos Laguna,Tigres UANL,1,1
Pachuca,Club America,3,2
Queretaro,Veracruz,2,1
Guadalajara Chivas,Atlas,0,0
Club America,Pachuca,3,4
Tigres UANL,Santos Laguna,0,1
Atlas,Guadalajara Chivas,1,4
Veracruz,Queretaro,2,2
Pachuca,Queretaro,2,0
Santos Laguna,Guadalajara Chivas,0,0
Guadalajara Chivas,Santos Laguna,0,3
Queretaro,Pachuca,2,0
Santos Laguna,Queretaro,5,0
Queretaro,Santos Laguna,3,0
Veracruz,Guadalajara Chivas,2,0
Cruz Azul,Monarcas,0,3
Tigres UANL,Toluca,0,1
Pachuca,Club Tijuana,2,1
Atlas,Queretaro,0,2
Dorados de Sinaloa,Chiapas,0,0
Santos Laguna,Club Leon,1,3
UNAM Pumas,Monterrey,3,0
Puebla,Club America,4,2
Queretaro,Pachuca,1,2
Club Tijuana,Dorados de Sinaloa,1,2
Club America,Atlas,1,3
Club Leon,Veracruz,4,1
Monarcas,Tigres UANL,1,0
Chiapas,Santos Laguna,2,1
Toluca,UNAM Pumas,2,1
Guadalajara Chivas,Cruz Azul,0,1
Veracruz,Chiapas,2,1
Santos Laguna,Club Tijuana,0,1
Cruz Azul,Club Leon,2,0
Pachuca,Club America,0,3
Atlas,Monterrey,0,3
Dorados de Sinaloa,Queretaro,1,1
Toluca,Monarcas,0,1
Puebla,UNAM Pumas,3,2
Tigres UANL,Guadalajara Chivas,2,2
Club America,Dorados de Sinaloa,4,0
Queretaro,Santos Laguna,1,2
Monterrey,Pachuca,4,3
Club Tijuana,Veracruz,1,3
Puebla,Toluca,1,0
Club Leon,Tigres UANL,2,1
Guadalajara Chivas,Monarcas,2,0
Chiapas,Cruz Azul,2,1
UNAM Pumas,Atlas,5,0
Veracruz,Queretaro,2,2
Santos Laguna,Club America,0,2
Cruz Azul,Club Tijuana,1,3
Monarcas,Club Leon,3,4
Tigres UANL,Chiapas,4,1
Pachuca,UNAM Pumas,1,2
Atlas,Puebla,2,1
Dorados de Sinaloa,Monterrey,1,4
Toluca,Guadalajara Chivas,3,1
Queretaro,Cruz Azul,4,2
Club Tijuana,Tigres UANL,1,2
Club America,Veracruz,3,1
Monterrey,Santos Laguna,1,1
Club Leon,Guadalajara Chivas,1,0
Atlas,Toluca,1,2
Chiapas,Monarcas,3,1
UNAM Pumas,Dorados de Sinaloa,2,0
Puebla,Pachuca,3,2
Veracruz,Monterrey,2,1
Santos Laguna,UNAM Pumas,3,4
Cruz Azul,Club America,0,2
Tigres UANL,Queretaro,5,1
Pachuca,Atlas,1,1
Monarcas,Club Tijuana,1,2
Dorados de Sinaloa,Puebla,1,0
Toluca,Club Leon,1,3
Guadalajara Chivas,Chiapas,4,1
Queretaro,Monarcas,0,1
Club Tijuana,Guadalajara Chivas,2,1
Club America,Tigres UANL,0,1
Monterrey,Cruz Azul,1,1
Pachuca,Toluca,3,4
Atlas,Dorados de Sinaloa,3,2
Chiapas,Club Leon,6,2
UNAM Pumas,Veracruz,3,0
Puebla,Santos Laguna,0,1
Veracruz,Puebla,2,1
Santos Laguna,Atlas,0,2
Cruz Azul,UNAM Pumas,2,1
Tigres UANL,Monterrey,3,1
Club Leon,Club Tijuana,2,1
Monarcas,Club America,0,3
Dorados de Sinaloa,Pachuca,1,2
Toluca,Chiapas,1,1
Guadalajara Chivas,Queretaro,2,1
Queretaro,Club Leon,3,0
Club Tijuana,Chiapas,1,1
Club America,Guadalajara Chivas,1,2
Monterrey,Monarcas,2,2
Pachuca,Santos Laguna,0,0
Atlas,Veracruz,0,1
Dorados de Sinaloa,Toluca,1,2
UNAM Pumas,Tigres UANL,1,0
Puebla,Cruz Azul,2,1
Toluca,Club Tijuana,4,1
Club Leon,Club America,3,0
Guadalajara Chivas,Monterrey,2,1
Chiapas,Queretaro,0,0
Santos Laguna,Dorados de Sinaloa,1,1
Veracruz,Pachuca,0,1
Monarcas,UNAM Pumas,2,2
Cruz Azul,Atlas,1,1
Tigres UANL,Puebla,0,1
Queretaro,Club Tijuana,2,1
Club America,Chiapas,2,1
Monterrey,Club Leon,4,0
Santos Laguna,Toluca,0,0
Atlas,Tigres UANL,0,1
UNAM Pumas,Guadalajara Chivas,1,0
Puebla,Monarcas,1,3
Monterrey,Puebla,1,1
Veracruz,Santos Laguna,0,3
Club Tijuana,Club America,0,2
Cruz Azul,Dorados de Sinaloa,1,1
Tigres UANL,Pachuca,2,1
Club Leon,UNAM Pumas,1,3
Monarcas,Atlas,0,1
Chiapas,Monterrey,2,2
Toluca,Queretaro,4,2
Guadalajara Chivas,Puebla,1,1
Veracruz,Toluca,3,2
Santos Laguna,Cruz Azul,1,2
Club America,Queretaro,0,1
Monterrey,Club Tijuana,3,1
Pachuca,Monarcas,2,0
Dorados de Sinaloa,Tigres UANL,0,0
UNAM Pumas,Chiapas,2,3
Puebla,Club Leon,1,0
Queretaro,Monterrey,3,1
Club Tijuana,UNAM Pumas,1,2
Cruz Azul,Veracruz,1,1
Tigres UANL,Santos Laguna,2,2
Club Leon,Atlas,2,1
Monarcas,Dorados de Sinaloa,4,0
Chiapas,Puebla,1,0
Toluca,Club America,2,3
Guadalajara Chivas,Pachuca,4,4
Veracruz,Tigres UANL,1,3
Santos Laguna,Monarcas,2,3
Cruz Azul,Toluca,1,2
Monterrey,Club America,2,1
Pachuca,Club Leon,3,2
Atlas,Chiapas,2,3
Dorados de Sinaloa,Guadalajara Chivas,2,1
UNAM Pumas,Queretaro,2,1
Puebla,Club Tijuana,2,1
Dorados de Sinaloa,Veracruz,0,0
Atlas,Guadalajara Chivas,0,1
Pachuca,Cruz Azul,1,2
Queretaro,Puebla,0,0
Club Tijuana,Atlas,2,0
Club America,UNAM Pumas,1,1
Tigres UANL,Cruz Azul,0,0
Club Leon,Dorados de Sinaloa,3,0
Monarcas,Veracruz,1,2
Chiapas,Pachuca,3,2
Toluca,Monterrey,3,1
Guadalajara Chivas,Santos Laguna,0,3
Club America,Club Leon,4,1
Tigres UANL,Chiapas,2,1
Veracruz,UNAM Pumas,1,0
Puebla,Toluca,2,2
Chiapas,Tigres UANL,0,1
Club Leon,Club America,2,1
UNAM Pumas,Veracruz,1,0
Toluca,Puebla,1,0
Club America,UNAM Pumas,0,3
Tigres UANL,Toluca,0,0
UNAM Pumas,Club America,1,3
Toluca,Tigres UANL,0,2
Tigres UANL,UNAM Pumas,3,0
UNAM Pumas,Tigres UANL,3,0
Queretaro,Atlas,1,3
Club Tijuana,Pachuca,1,1
Club America,Puebla,0,0
Monterrey,UNAM Pumas,1,0
Club Leon,Santos Laguna,2,0
Monarcas,Cruz Azul,2,2
Chiapas,Dorados de Sinaloa,1,0
Toluca,Tigres UANL,1,0
Guadalajara Chivas,Veracruz,2,2
Veracruz,Club Leon,1,3
Santos Laguna,Chiapas,1,0
Cruz Azul,Guadalajara Chivas,1,1
Tigres UANL,Monarcas,2,0
Pachuca,Queretaro,1,0
Atlas,Club America,0,3
Dorados de Sinaloa,Club Tijuana,0,1
UNAM Pumas,Toluca,3,2
Puebla,Monterrey,1,3
Queretaro,Dorados de Sinaloa,3,0
Club Tijuana,Santos Laguna,1,3
Club America,Pachuca,1,4
Monterrey,Atlas,1,0
Club Leon,Cruz Azul,3,2
Monarcas,Toluca,1,1
Chiapas,Veracruz,1,1
UNAM Pumas,Puebla,0,1
Guadalajara Chivas,Tigres UANL,2,2
Santos Laguna,Queretaro,2,0
Veracruz,Club Tijuana,2,2
Cruz Azul,Chiapas,2,1
Monarcas,Guadalajara Chivas,2,0
Tigres UANL,Club Leon,3,1
Pachuca,Monterrey,3,1
Atlas,UNAM Pumas,1,1
Dorados de Sinaloa,Club America,0,3
Toluca,Puebla,1,1
Queretaro,Veracruz,2,1
Chiapas,Tigres UANL,1,3
Club Tijuana,Cruz Azul,1,1
Club America,Santos Laguna,2,0
Monterrey,Dorados de Sinaloa,3,0
Puebla,Atlas,4,1
Club Leon,Monarcas,1,2
Guadalajara Chivas,Toluca,1,1
UNAM Pumas,Pachuca,1,1
Veracruz,Club America,1,1
Toluca,Atlas,1,1
Santos Laguna,Monterrey,1,2
Cruz Azul,Queretaro,2,1
Tigres UANL,Club Tijuana,1,2
Dorados de Sinaloa,UNAM Pumas,2,3
Guadalajara Chivas,Club Leon,0,1
Pachuca,Puebla,5,2
Queretaro,Tigres UANL,2,2
Club Tijuana,Monarcas,1,1
Club America,Cruz Azul,3,3
Monterrey,Veracruz,5,1
Club Leon,Toluca,5,1
Atlas,Pachuca,1,0
Chiapas,Guadalajara Chivas,1,1
UNAM Pumas,Santos Laguna,1,1
Puebla,Dorados de Sinaloa,3,2
Veracruz,UNAM Pumas,0,0
Cruz Azul,Monterrey,4,0
Santos Laguna,Puebla,1,1
Tigres UANL,Club America,4,1
Club Leon,Chiapas,1,3
Monarcas,Queretaro,1,1
Dorados de Sinaloa,Atlas,2,1
Toluca,Pachuca,0,1
Guadalajara Chivas,Club Tijuana,1,1
Club Tijuana,Club Leon,0,0
Club America,Monarcas,4,1
Queretaro,Guadalajara Chivas,0,2
Monterrey,Tigres UANL,1,0
Pachuca,Dorados de Sinaloa,2,2
Atlas,Santos Laguna,1,2
Chiapas,Toluca,3,2
UNAM Pumas,Cruz Azul,2,2
Puebla,Veracruz,1,1
Santos Laguna,Pachuca,3,2
Veracruz,Atlas,3,2
Cruz Azul,Puebla,1,1
Tigres UANL,UNAM Pumas,0,0
Club Leon,Queretaro,2,0
Monarcas,Monterrey,1,3
Chiapas,Club Tijuana,1,2
Toluca,Dorados de Sinaloa,3,0
Guadalajara Chivas,Club America,1,2
Queretaro,Chiapas,1,1
Club Tijuana,Toluca,0,0
Club America,Club Leon,2,1
Monterrey,Guadalajara Chivas,1,3
Pachuca,Veracruz,6,0
Atlas,Cruz Azul,0,2
Dorados de Sinaloa,Santos Laguna,3,1
Puebla,Tigres UANL,0,0
UNAM Pumas,Monarcas,4,2
Monarcas,Chiapas,2,0
Toluca,Santos Laguna,0,0
Club Tijuana,Queretaro,2,4
Veracruz,Dorados de Sinaloa,0,0
Cruz Azul,Pachuca,0,0
Tigres UANL,Atlas,2,2
Club Leon,Monterrey,1,2
Monarcas,Puebla,2,0
Chiapas,Club America,0,2
Guadalajara Chivas,UNAM Pumas,4,0
Queretaro,Toluca,0,0
Santos Laguna,Veracruz,2,0
Club America,Club Tijuana,6,1
Monterrey,Chiapas,6,0
Pachuca,Tigres UANL,2,1
Atlas,Monarcas,1,2
Dorados de Sinaloa,Cruz Azul,3,0
Puebla,Guadalajara Chivas,0,3
UNAM Pumas,Club Leon,1,2
Queretaro,Club America,1,0
Club Tijuana,Monterrey,1,2
Toluca,Veracruz,4,2
Cruz Azul,Santos Laguna,0,1
Tigres UANL,Dorados de Sinaloa,5,2
Club Leon,Puebla,4,1
Monarcas,Pachuca,1,0
Chiapas,UNAM Pumas,1,2
Guadalajara Chivas,Atlas,1,0
UNAM Pumas,Club Tijuana,3,1
Veracruz,Cruz Azul,2,1
Club America,Toluca,0,1
Monterrey,Queretaro,3,2
Santos Laguna,Tigres UANL,2,1
Pachuca,Guadalajara Chivas,1,1
Atlas,Club Leon,1,1
Dorados de Sinaloa,Monarcas,1,0
Puebla,Chiapas,2,1
Queretaro,UNAM Pumas,2,1
Club Tijuana,Puebla,0,0
Club America,Monterrey,3,3
Tigres UANL,Veracruz,0,0
Club Leon,Pachuca,0,0
Monarcas,Santos Laguna,3,2
Chiapas,Atlas,0,3
Toluca,Cruz Azul,0,2
Guadalajara Chivas,Dorados de Sinaloa,2,1
Veracruz,Monarcas,1,2
Santos Laguna,Guadalajara Chivas,0,1
Cruz Azul,Tigres UANL,0,3
Monterrey,Toluca,1,2
Pachuca,Chiapas,2,1
Atlas,Club Tijuana,0,0
Dorados de Sinaloa,Club Leon,0,1
UNAM Pumas,Club America,1,1
Puebla,Queretaro,3,1
Tigres UANL,Monterrey,1,3
Monarcas,Club Leon,1,1
Santos Laguna,Pachuca,1,1
Guadalajara Chivas,Club America,0,0
Monterrey,Tigres UANL,1,2
Club Leon,Monarcas,4,1
Club America,Guadalajara Chivas,2,1
Pachuca,Santos Laguna,3,2
Club America,Monterrey,1,0
Club Leon,Pachuca,1,1
Monterrey,Club America,4,2
Pachuca,Club Leon,2,1
Pachuca,Monterrey,1,0
Monterrey,Pachuca,1,1
Club Tijuana,Monarcas,2,0
Queretaro,Veracruz,2,0
Atlas,Toluca,1,1
Monterrey,Puebla,1,1
Pachuca,Club Leon,5,1
Club America,Chiapas,2,0
Necaxa,Cruz Azul,0,0
UNAM Pumas,Guadalajara Chivas,1,0
Santos Laguna,Tigres UANL,0,0
Veracruz,Santos Laguna,2,0
Chiapas,Pachuca,0,2
Cruz Azul,UNAM Pumas,0,0
Monarcas,Queretaro,2,2
Tigres UANL,Atlas,0,0
Club Leon,Necaxa,0,0
Club America,Toluca,3,1
Guadalajara Chivas,Monterrey,1,0
Puebla,Club Tijuana,3,2
Club Tijuana,Guadalajara Chivas,4,0
Queretaro,Puebla,2,1
Atlas,Veracruz,1,0
Monterrey,Cruz Azul,1,1
Pachuca,Necaxa,1,0
Club America,Tigres UANL,0,3
UNAM Pumas,Club Leon,1,0
Chiapas,Toluca,1,0
Santos Laguna,Monarcas,2,4
Cruz Azul,Club Tijuana,1,2
Monarcas,Atlas,3,2
Tigres UANL,Chiapas,1,0
Club Leon,Monterrey,0,3
Guadalajara Chivas,Queretaro,0,0
Necaxa,UNAM Pumas,2,2
Veracruz,Club America,2,4
Toluca,Pachuca,2,0
Puebla,Santos Laguna,0,0
Club Tijuana,Club Leon,2,0
Queretaro,Cruz Azul,0,0
Atlas,Puebla,3,2
Monterrey,Necaxa,2,1
Pachuca,UNAM Pumas,3,0
Club America,Monarcas,1,1
Toluca,Tigres UANL,0,0
Chiapas,Veracruz,1,1
Santos Laguna,Guadalajara Chivas,0,1
Veracruz,Toluca,2,2
Cruz Azul,Santos Laguna,3,1
Monarcas,Chiapas,3,2
Tigres UANL,Pachuca,4,2
Club Leon,Queretaro,2,1
Necaxa,Club Tijuana,1,1
Guadalajara Chivas,Atlas,2,2
UNAM Pumas,Monterrey,5,3
Puebla,Club America,2,2
Club Tijuana,UNAM Pumas,1,0
Queretaro,Necaxa,1,2
Atlas,Cruz Azul,1,1
Tigres UANL,Veracruz,1,1
Pachuca,Monterrey,1,1
Club America,Guadalajara Chivas,0,3
Toluca,Monarcas,2,2
Chiapas,Puebla,0,3
Santos Laguna,Club Leon,1,0
Veracruz,Pachuca,1,0
Cruz Azul,Club America,3,4
Monarcas,Tigres UANL,0,2
Monterrey,Club Tijuana,0,0
Club Leon,Atlas,4,1
Necaxa,Santos Laguna,2,1
Guadalajara Chivas,Chiapas,2,0
UNAM Pumas,Queretaro,4,1
Puebla,Toluca,0,2
Veracruz,Monarcas,1,3
Toluca,Guadalajara Chivas,2,1
Queretaro,Monterrey,1,0
Atlas,Necaxa,0,0
Chiapas,Cruz Azul,0,3
Tigres UANL,Puebla,2,1
Pachuca,Club Tijuana,2,2
Club America,Club Leon,0,2
Santos Laguna,UNAM Pumas,3,1
Cruz Azul,Toluca,0,1
Guadalajara Chivas,Tigres UANL,0,1
Monarcas,Pachuca,1,5
Puebla,Veracruz,3,2
Necaxa,Club America,1,1
Club Leon,Chiapas,0,0
UNAM Pumas,Atlas,2,0
Monterrey,Santos Laguna,5,2
Club Tijuana,Queretaro,2,1
Veracruz,Guadalajara Chivas,0,1
Chiapas,Necaxa,2,2
Atlas,Monterrey,3,1
Monarcas,Puebla,2,3
Tigres UANL,Cruz Azul,0,0
Pachuca,Queretaro,2,0
Club America,UNAM Pumas,2,1
Toluca,Club Leon,1,1
Santos Laguna,Club Tijuana,1,2
Club Tijuana,Atlas,1,0
Cruz Azul,Veracruz,5,3
Queretaro,Santos Laguna,1,1
Monterrey,Club America,1,1
Club Leon,Tigres UANL,3,2
Guadalajara Chivas,Monarcas,2,1
Necaxa,Toluca,3,1
UNAM Pumas,Chiapas,1,0
Puebla,Pachuca,1,1
Veracruz,Club Leon,2,3
Chiapas,Monterrey,1,4
Atlas,Queretaro,2,1
Monarcas,Cruz Azul,1,1
Tigres UANL,Necaxa,0,2
Pachuca,Santos Laguna,3,0
Club America,Club Tijuana,1,0
Toluca,UNAM Pumas,2,1
Puebla,Guadalajara Chivas,0,2
Club Tijuana,Chiapas,2,0
Cruz Azul,Puebla,1,2
Monterrey,Toluca,1,1
Queretaro,Club America,1,1
Club Leon,Monarcas,3,1
Necaxa,Veracruz,3,2
UNAM Pumas,Tigres UANL,1,3
Santos Laguna,Atlas,2,2
Guadalajara Chivas,Pachuca,1,2
Veracruz,UNAM Pumas,1,4
Chiapas,Queretaro,1,2
Monarcas,Necaxa,2,1
Tigres UANL,Monterrey,1,1
Pachuca,Atlas,3,2
Club America,Santos Laguna,3,1
Guadalajara Chivas,Cruz Azul,3,2
Toluca,Club Tijuana,0,1
Puebla,Club Leon,2,2
Club Tijuana,Tigres UANL,0,1
Cruz Azul,Pachuca,2,1
Queretaro,Toluca,2,3
Atlas,Club America,1,1
Monterrey,Veracruz,4,0
Club Leon,Guadalajara Chivas,1,1
Necaxa,Puebla,3,1
UNAM Pumas,Monarcas,1,1
Santos Laguna,Chiapas,2,0
Veracruz,Club Tijuana,2,1
Chiapas,Atlas,1,0
Cruz Azul,Club Leon,2,3
Monarcas,Monterrey,1,2
Tigres UANL,Queretaro,1,2
Pachuca,Club America,3,3
Guadalajara Chivas,Necaxa,1,1
Toluca,Santos Laguna,1,2
Puebla,UNAM Pumas,0,3
Club Leon,Club Tijuana,3,0
UNAM Pumas,Tigres UANL,2,2
Necaxa,Pachuca,2,1
Club America,Guadalajara Chivas,1,1
Tigres UANL,UNAM Pumas,5,0
Club Tijuana,Club Leon,3,2
Guadalajara Chivas,Club America,0,1
Pachuca,Necaxa,0,0
Club Leon,Tigres UANL,0,1
Necaxa,Club America,1,1
Tigres UANL,Club Leon,2,1
Club America,Necaxa,2,0
Club America,Tigres UANL,1,1
Tigres UANL,Club America,0,0
Veracruz,Queretaro,1,0
Cruz Azul,Necaxa,1,0
Monarcas,Club Tijuana,2,0
Tigres UANL,Santos Laguna,0,0
Club Leon,Pachuca,2,4
Guadalajara Chivas,UNAM Pumas,2,1
Toluca,Atlas,4,1
Puebla,Monterrey,2,3
Club Tijuana,Puebla,6,2
Queretaro,Monarcas,0,0
Atlas,Tigres UANL,2,0
Monterrey,Guadalajara Chivas,2,2
Pachuca,Chiapas,1,0
Necaxa,Club Leon,0,1
UNAM Pumas,Cruz Azul,1,0
Toluca,Club America,2,1
Santos Laguna,Veracruz,2,1
Veracruz,Atlas,1,0
Cruz Azul,Monterrey,2,2
Monarcas,Santos Laguna,1,1
Tigres UANL,Club America,4,2
Club Leon,UNAM Pumas,0,1
Necaxa,Pachuca,1,0
Guadalajara Chivas,Club Tijuana,0,1
Toluca,Chiapas,0,1
Puebla,Queretaro,0,0
Club Tijuana,Cruz Azul,1,0
Queretaro,Guadalajara Chivas,0,1
Atlas,Monarcas,3,1
Monterrey,Club Leon,0,0
Pachuca,Toluca,0,0
Club America,Veracruz,1,0
UNAM Pumas,Necaxa,3,1
Chiapas,Tigres UANL,1,0
Santos Laguna,Puebla,2,0
Puebla,Atlas,1,1
Veracruz,Chiapas,2,0
Cruz Azul,Queretaro,1,1
Monarcas,Club America,0,2
Tigres UANL,Toluca,0,1
Club Leon,Club Tijuana,2,4
Necaxa,Monterrey,1,1
UNAM Pumas,Pachuca,1,1
Guadalajara Chivas,Santos Laguna,1,1
Chiapas,Club America,2,0
Club Tijuana,Necaxa,1,2
Queretaro,Club Leon,2,1
Atlas,Guadalajara Chivas,1,2
Monterrey,UNAM Pumas,2,0
Pachuca,Tigres UANL,1,0
Club America,Puebla,0,0
Toluca,Veracruz,1,0
Chiapas,Monarcas,1,2
Santos Laguna,Cruz Azul,2,2
Veracruz,Tigres UANL,0,3
Cruz Azul,Atlas,0,1
Monarcas,Toluca,1,2
Monterrey,Pachuca,1,0
Club Leon,Santos Laguna,2,2
Necaxa,Queretaro,1,4
Guadalajara Chivas,Club America,1,0
UNAM Pumas,Club Tijuana,3,3
Puebla,Chiapas,3,0
Club Tijuana,Monterrey,2,0
Queretaro,UNAM Pumas,4,3
Atlas,Club Leon,2,0
Tigres UANL,Monarcas,1,1
Pachuca,Veracruz,1,0
Club America,Cruz Azul,2,0
Toluca,Puebla,1,3
Chiapas,Guadalajara Chivas,4,3
Santos Laguna,Necaxa,2,2
Club Tijuana,Pachuca,2,3
Cruz Azul,Chiapas,2,0
Monarcas,Veracruz,1,0
Monterrey,Queretaro,4,1
Club Leon,Club America,1,1
Necaxa,Atlas,1,1
Guadalajara Chivas,Toluca,2,0
Puebla,Tigres UANL,0,2
UNAM Pumas,Santos Laguna,2,1
Club Tijuana,Santos Laguna,1,1
Cruz Azul,Tigres UANL,0,0
Queretaro,Pachuca,3,0
Monterrey,Atlas,2,0
Club Leon,Toluca,2,3
Necaxa,Chiapas,2,2
Guadalajara Chivas,Veracruz,2,0
UNAM Pumas,Club America,2,3
Puebla,Monarcas,0,1
Veracruz,Cruz Azul,3,1
Chiapas,UNAM Pumas,0,3
Atlas,Club Tijuana,3,3
Monarcas,Guadalajara Chivas,0,0
Tigres UANL,Club Leon,0,1
Pachuca,Puebla,0,0
Club America,Monterrey,1,0
Toluca,Necaxa,2,0
Santos Laguna,Queretaro,1,0
Club Tijuana,Club America,0,0
Cruz Azul,Monarcas,1,1
Queretaro,Atlas,1,4
